epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7137.54,0.52587,0.55017,0.94113,0.99604,1,0.995,0.89786,0.46017,0.56188,0.83416,0.00093575,0.00093575,0.00093575
45,7277.95,0.54278,0.54668,0.90055,0.99631,1,0.995,0.89421,0.48756,0.52978,0.83247,0.000911,0.000911,0.000911
46,7431.22,0.47437,0.53935,0.88096,0.99642,1,0.995,0.88474,0.48734,0.51092,0.83549,0.00088625,0.00088625,0.00088625
47,7587.26,0.48554,0.51603,0.91796,0.99634,1,0.995,0.92642,0.47148,0.50626,0.8274,0.0008615,0.0008615,0.0008615
48,7734.8,0.51287,0.54143,0.9104,0.99658,1,0.995,0.92653,0.43658,0.48574,0.82202,0.00083675,0.00083675,0.00083675
49,7853.68,0.42328,0.4783,0.89413,0.99671,1,0.995,0.90316,0.43719,0.42714,0.82272,0.000812,0.000812,0.000812
50,8001.06,0.45954,0.49025,0.89326,0.99672,1,0.995,0.90022,0.44183,0.42274,0.82505,0.00078725,0.00078725,0.00078725
51,8152.66,0.46383,0.52561,0.91696,0.99672,1,0.995,0.95079,0.37865,0.4059,0.80972,0.0007625,0.0007625,0.0007625
52,8292.44,0.41935,0.49417,0.90176,0.99675,1,0.995,0.95185,0.35686,0.42617,0.79561,0.00073775,0.00073775,0.00073775
53,8436.76,0.41434,0.4717,0.86341,0.99674,1,0.995,0.95908,0.32156,0.41325,0.78267,0.000713,0.000713,0.000713
54,8580.39,0.49497,0.51501,0.92887,0.99676,1,0.995,0.96951,0.2809,0.36846,0.77675,0.00068825,0.00068825,0.00068825
55,8710.67,0.45895,0.50697,0.88886,0.99678,1,0.995,0.94998,0.28219,0.3806,0.77645,0.0006635,0.0006635,0.0006635
56,8809.35,0.45398,0.47474,0.88924,0.99685,1,0.995,0.94726,0.32155,0.38947,0.78204,0.00063875,0.00063875,0.00063875
57,8953.43,0.4458,0.48087,0.92083,0.99674,1,0.995,0.94422,0.35489,0.42264,0.7915,0.000614,0.000614,0.000614
58,9110.23,0.43046,0.47771,0.88747,0.99658,1,0.995,0.92475,0.3575,0.44383,0.79406,0.00058925,0.00058925,0.00058925
59,9244.02,0.44185,0.47496,0.8889,0.99649,1,0.995,0.92025,0.37611,0.45008,0.80242,0.0005645,0.0005645,0.0005645
60,9372.96,0.45031,0.47635,0.91281,0.99654,1,0.995,0.92279,0.38209,0.45679,0.80794,0.00053975,0.00053975,0.00053975
61,9512.41,0.41328,0.44928,0.88431,0.99657,1,0.995,0.91145,0.37153,0.44948,0.80717,0.000515,0.000515,0.000515
62,9676.95,0.39411,0.43828,0.88896,0.99668,1,0.995,0.91421,0.38852,0.42278,0.81267,0.00049025,0.00049025,0.00049025
63,9836.27,0.41242,0.42767,0.86486,0.99672,1,0.995,0.89712,0.40275,0.4108,0.81645,0.0004655,0.0004655,0.0004655
64,9985.14,0.39502,0.4125,0.86282,0.99658,1,0.995,0.87785,0.41139,0.40641,0.81755,0.00044075,0.00044075,0.00044075
